time,INTERSECT,IN
1979-01-31,-107.37841191066998,-400.5354838709678
1979-02-28,-75.45631868131866,-266.53214285714284
1979-03-31,-16.841687344913154,-36.099999999999994
1979-04-30,-10.453076923076923,-24.46
1979-05-31,-6.209925558312653,-4.441935483870968
1979-06-30,3.571538461538461,17.956666666666667
1979-07-31,7.427047146401985,34.18709677419355
1979-08-31,3.2444168734491314,16.48387096774194
1979-09-30,-3.972307692307693,-10.91
1979-10-31,-8.62679900744417,-26.570967741935483
1979-11-30,-21.21512820512821,-62.410000000000004
1979-12-31,-34.893796526054594,-105.48064516129033
1980-01-31,-35.4044665012407,-88.51935483870967
1980-02-29,-38.7501326259947,-101.76896551724137
1980-03-31,-18.93300248138958,-14.970967741935484
1980-04-30,-22.66538461538462,-46.46333333333333
1980-05-31,-23.003722084367247,-33.8258064516129
1980-06-30,-0.5599999999999999,15.229999999999999
1980-07-31,4.257320099255584,21.0516129032258
1980-08-31,1.047890818858561,8.361290322580645
1980-09-30,-0.30871794871794855,3.8766666666666665
1980-10-31,-16.555831265508687,-40.92258064516129
1980-11-30,-25.581025641025644,-66.19666666666667
1980-12-31,-41.7605459057072,-119.28064516129035
1981-01-31,-64.71637717121587,-210.50967741935486
1981-02-28,-97.24697802197804,-350.31071428571425
1981-03-31,-100.21389578163775,-364.2903225806451
1981-04-30,-34.94102564102564,-116.6566666666667
1981-05-31,-3.00347394540943,-4.122580645161291
1981-06-30,4.683333333333333,22.546666666666667
1981-07-31,2.0263027295285365,10.887096774193548
1981-08-31,3.1111662531017377,16.148387096774194
1981-09-30,0.9251282051282049,9.840000000000002
1981-10-31,-8.835235732009927,-19.806451612903224
1981-11-30,-8.73,-12.010000000000002
1981-12-31,-29.131017369727054,-96.74838709677418
1982-01-31,-76.83647642679902,-282.3387096774194
1982-02-28,-100.35521978021981,-374.5964285714285
1982-03-31,-49.63126550868486,-134.03870967741938
1982-04-30,-11.568205128205129,-30.043333333333333
1982-05-31,0.338213399503722,4.258064516129031
1982-06-30,-1.381282051282051,-3.5133333333333336
1982-07-31,0.6920595533498761,6.016129032258065
1982-08-31,-1.506203473945409,-1.5290322580645153
1982-09-30,-3.1774358974358976,-7.140000000000001
1982-10-31,-10.47394540942928,-34.958064516129035
1982-11-30,-57.8605128205128,-213.28999999999996
1982-12-31,-95.01985111662532,-357.4354838709678
1983-01-31,-107.57295285359801,-419.50645161290333
1983-02-28,-112.4653846153846,-440.74642857142857
1983-03-31,-100.7089330024814,-390.44516129032246
1983-04-30,-39.402051282051275,-129.48
1983-05-31,-0.48263027295285343,6.441935483870968
1983-06-30,3.0520512820512815,15.063333333333334
1983-07-31,-4.048635235732011,-13.648387096774194
1983-08-31,-4.749131513647643,-11.235483870967743
1983-09-30,-1.9499999999999995,-2.013333333333333
1983-10-31,-2.299007444168734,0.6096774193548389
1983-11-30,-33.547435897435896,-113.48000000000002
1983-12-31,-29.685856079404466,-84.6741935483871
1984-01-31,-48.635732009925576,-148.08709677419353
1984-02-29,-53.9,-169.36206896551724
1984-03-31,-27.40570719602978,-77.58387096774194
1984-04-30,-23.24538461538462,-57.68666666666665
1984-05-31,-8.637965260545908,-9.512903225806454
1984-06-30,-1.3364102564102565,7.883333333333334
1984-07-31,2.5091811414392056,15.27741935483871
1984-08-31,2.3116625310173697,13.464516129032257
1984-09-30,-10.423333333333334,-35.343333333333334
1984-10-31,-31.774689826302726,-112.80645161290323
1984-11-30,-50.84692307692308,-173.63
1984-12-31,-43.92357320099255,-145.09677419354836
1985-01-31,-36.80893300248139,-119.80000000000001
1985-02-28,-46.80906593406593,-163.65357142857144
1985-03-31,-25.45136476426799,-87.19999999999999
1985-04-30,-12.706153846153846,-45.06000000000001
1985-05-31,-6.917617866004962,-21.651612903225807
1985-06-30,3.7725641025641035,18.646666666666665
1985-07-31,4.461290322580646,21.648387096774194
1985-08-31,-0.37468982630272935,1.019354838709678
1985-09-30,-4.249230769230769,-8.12
1985-10-31,-29.824317617866,-94.4193548387097
1985-11-30,-34.032051282051285,-90.65333333333332
1985-12-31,-31.12655086848635,-93.65161290322578
1986-01-31,-14.71315136476427,-31.609677419354842
1986-02-28,-19.034890109890107,-51.482142857142854
1986-03-31,-37.8166253101737,-124.89032258064516
1986-04-30,-72.59410256410257,-270.0433333333333
1986-05-31,-39.03424317617866,-129.96129032258062
1986-06-30,-2.7715384615384617,8.54
1986-07-31,2.464516129032259,15.680645161290327
1986-08-31,3.1799007444168734,15.154838709677419
1986-09-30,-3.518205128205128,-10.243333333333334
1986-10-31,-19.036724565756824,-64.32580645161293
1986-11-30,-45.36102564102565,-167.64666666666665
1986-12-31,-79.70794044665016,-302.4225806451613
1987-01-31,-103.54565756823824,-398.5451612903226
1987-02-28,-106.14615384615385,-409.7964285714287
1987-03-31,-61.28089330024815,-222.5
1987-04-30,-13.991025641025645,-37.13666666666666
1987-05-31,-11.252357320099257,-28.658064516129027
1987-06-30,2.2689743589743596,19.97666666666667
1987-07-31,4.978163771712159,24.88387096774194
1987-08-31,-2.754590570719603,-9.670967741935485
1987-09-30,-2.7792307692307694,-9.280000000000003
1987-10-31,-18.241687344913153,-65.4
1987-11-30,-30.888205128205126,-98.99999999999999
1987-12-31,-14.239205955334985,-25.08709677419355
1988-01-31,-78.34193548387098,-294.7741935483871
1988-02-29,-89.25570291777186,-331.5551724137931
1988-03-31,-24.632506203473945,-73.18064516129031
1988-04-30,-50.74153846153846,-178.72333333333336
1988-05-31,-21.88238213399504,-67.041935483871
1988-06-30,0.6097435897435898,6.769999999999999
1988-07-31,5.782878411910671,28.06451612903226
1988-08-31,3.8975186104218364,18.78387096774194
1988-09-30,-4.1805128205128215,-11.82
1988-10-31,-8.057320099255584,-22.325806451612902
1988-11-30,-54.78307692307691,-189.3566666666666
1988-12-31,-59.06749379652606,-181.18064516129036
1989-01-31,-10.918114143920596,-7.374193548387094
1989-02-28,-49.34890109890109,-174.2642857142857
1989-03-31,-90.58362282878413,-335.3516129032258
1989-04-30,-94.72025641025643,-351.72666666666663
1989-05-31,-6.1002481389578165,-5.312903225806453
1989-06-30,3.0964102564102562,17.790000000000003
1989-07-31,-0.292059553349876,0.9935483870967728
1989-08-31,1.7099255583126554,13.55483870967742
1989-09-30,0.7279487179487171,8.786666666666664
1989-10-31,-0.9565756823821344,2.2290322580645174
1989-11-30,-41.39564102564102,-147.69
1989-12-31,-55.91091811414391,-198.96129032258068
1990-01-31,-82.87493796526054,-299.96451612903223
1990-02-28,-111.5868131868132,-423.45357142857137
1990-03-31,-92.1816377171216,-338.17096774193556
1990-04-30,-76.13025641025642,-273.7766666666667
1990-05-31,-8.042183622828786,-4.8000000000000025
1990-06-30,2.002051282051282,12.836666666666668
1990-07-31,4.70694789081886,20.05483870967742
1990-08-31,4.327047146401985,20.4258064516129
1990-09-30,-10.955897435897434,-39.54666666666666
1990-10-31,-5.229280397022333,-11.277419354838706
1990-11-30,-12.38051282051282,-32.25333333333332
1990-12-31,-65.16600496277916,-234.2129032258065
1991-01-31,-114.6330024813896,-443.0903225806451
1991-02-28,-79.46401098901099,-301.65000000000003
1991-03-31,-84.78287841191066,-318.92258064516125
1991-04-30,-29.283076923076933,-93.61999999999999
1991-05-31,-4.881885856079406,-11.245161290322578
1991-06-30,0.087692307692308,10.906666666666666
1991-07-31,1.8238213399503722,12.558064516129035
1991-08-31,5.408933002481388,23.864516129032253
1991-09-30,-1.602307692307692,-4.56
1991-10-31,-14.953101736972704,-53.29677419354839
1991-11-30,-24.53307692307692,-79.58333333333331
1991-12-31,-69.91439205955335,-251.31935483870964
1992-01-31,-63.18660049627792,-221.90000000000003
1992-02-29,-73.42679045092837,-273.79655172413794
1992-03-31,-91.34640198511167,-338.9806451612904
1992-04-30,-73.75794871794872,-259.7699999999999
1992-05-31,-24.675434243176177,-62.909677419354836
1992-06-30,-2.3469230769230767,6.183333333333334
1992-07-31,3.734739454094293,22.219354838709677
1992-08-31,6.485607940446651,28.33870967741935
1992-09-30,-1.0261538461538462,-2.900000000000001
1992-10-31,-7.516377171215883,-26.187096774193545
1992-11-30,-27.697179487179486,-95.94333333333333
1992-12-31,-36.12853598014888,-113.9741935483871
1993-01-31,-96.787841191067,-366.36451612903244
1993-02-28,-115.51868131868132,-437.1749999999999
1993-03-31,-106.88114143920595,-397.32580645161283
1993-04-30,-89.56282051282052,-323.05000000000007
1993-05-31,-30.689081885856083,-85.6
1993-06-30,3.062820512820513,20.023333333333333
1993-07-31,-3.8069478908188596,-13.164516129032258
1993-08-31,1.9101736972704715,9.970967741935485
1993-09-30,-3.397179487179487,-7.890000000000001
1993-10-31,-24.233995037220843,-83.36129032258066
1993-11-30,-27.918974358974353,-78.58333333333334
1993-12-31,-62.42977667493797,-207.89354838709679
1994-01-31,-93.775682382134,-340.94838709677424
1994-02-28,-112.40714285714286,-423.01785714285717
1994-03-31,-105.66600496277916,-391.8322580645161
1994-04-30,-69.43589743589743,-243.04333333333338
1994-05-31,-36.029032258064504,-113.5967741935484
1994-06-30,1.0166666666666662,10.910000000000002
1994-07-31,5.3712158808933,23.57741935483871
1994-08-31,1.3327543424317616,6.745161290322582
1994-09-30,4.02974358974359,18.386666666666667
1994-10-31,-1.184367245657568,0.3419354838709678
1994-11-30,-33.513076923076916,-117.06666666666668
1994-12-31,-106.35409429280398,-413.0387096774194
1995-01-31,-114.0692307692308,-440.9612903225807
1995-02-28,-81.94423076923076,-288.33571428571435
1995-03-31,-35.83275434243176,-108.95161290322581
1995-04-30,1.8364102564102565,12.669999999999998
1995-05-31,-0.8292803970223329,-0.3000000000000008
1995-06-30,5.4230769230769225,23.106666666666673
1995-07-31,6.867990074441686,29.43548387096774
1995-08-31,0.2880893300248142,2.97741935483871
1995-09-30,-6.641794871794872,-22.136666666666667
1995-10-31,-5.38833746898263,-15.183870967741935
1995-11-30,-14.759743589743586,-37.75333333333334
1995-12-31,-31.612406947890815,-101.08064516129032
1996-01-31,-69.01191066997518,-248.13225806451615
1996-02-29,-96.88196286472147,-367.85172413793106
1996-03-31,-79.40868486352358,-283.52903225806455
1996-04-30,-26.13871794871795,-83.76666666666668
1996-05-31,1.1022332506203472,11.335483870967744
1996-06-30,6.978461538461539,32.05
1996-07-31,4.770223325062035,20.490322580645163
1996-08-31,5.262034739454093,23.619354838709672
1996-09-30,-3.686153846153846,-10.846666666666668
1996-10-31,-20.721588089330027,-64.09677419354838
1996-11-30,-57.47410256410257,-191.21999999999994
1996-12-31,-36.82406947890818,-123.41290322580645
1997-01-31,-61.59702233250621,-224.1516129032258
1997-02-28,-106.78626373626375,-412.5142857142856
1997-03-31,-69.0875930521092,-262.73225806451615
1997-04-30,-47.57641025641028,-170.76333333333332
1997-05-31,-26.28287841191068,-77.87096774193549
1997-06-30,4.97948717948718,22.51666666666667
1997-07-31,0.5357320099255587,3.212903225806452
1997-08-31,0.7315136476426797,5.561290322580645
1997-09-30,6.186410256410257,30.313333333333333
1997-10-31,-7.259801488833747,-27.103225806451615
1997-11-30,-36.39666666666666,-125.76333333333335
1997-12-31,-63.06476426799008,-215.66129032258067
1998-01-31,-115.05012406947891,-436.94838709677424
1998-02-28,-110.7098901098901,-426.60357142857146
1998-03-31,-57.805707196029786,-202.61290322580646
1998-04-30,-51.03666666666666,-171.89999999999998
1998-05-31,-36.51315136476426,-115.23225806451613
1998-06-30,1.7100000000000009,18.666666666666668
1998-07-31,10.22258064516129,44.82580645161289
1998-08-31,1.6942928039702239,9.874193548387094
1998-09-30,-4.26,-11.846666666666666
1998-10-31,-6.766997518610422,-16.809677419354838
1998-11-30,-44.31974358974359,-156.91666666666666
1998-12-31,-56.919851116625324,-211.56129032258067
1999-01-31,-91.0632754342432,-348.6645161290323
1999-02-28,-102.05329670329671,-387.8607142857143
1999-03-31,-84.97096774193547,-327.1354838709678
1999-04-30,-60.44358974358975,-206.2533333333333
1999-05-31,-26.220595533498756,-78.63870967741936
1999-06-30,0.29153846153846186,10.416666666666664
1999-07-31,3.637468982630272,16.880645161290325
1999-08-31,1.4895781637717125,8.0741935483871
1999-09-30,-7.242564102564101,-24.569999999999997
1999-10-31,-21.35930521091811,-75.38387096774193
1999-11-30,-14.687179487179487,-41.55
1999-12-31,-57.07965260545905,-223.0935483870968
2000-01-31,-92.87816377171218,-348.7451612903225
2000-02-29,-112.37506631299732,-427.8586206896551
2000-03-31,-111.96997518610424,-436.5387096774194
