time,INTERSECT,IN
1979-01-31,,-4.900752688172044
1979-02-28,,-4.75652709359606
1979-03-31,,-4.482043010752688
1979-04-30,,-4.111222222222222
1979-05-31,,-4.223548387096774
1979-06-30,,-4.396111111111111
1979-07-31,,-4.566774193548387
1979-08-31,,-4.735591397849462
1979-09-30,,-5.040777777777778
1979-10-31,,-5.650752688172043
1979-11-30,,-5.645111111111111
1979-12-31,,-5.253225806451613
1980-01-31,,-4.900752688172044
1980-02-29,,-4.75652709359606
1980-03-31,,-4.482043010752688
1980-04-30,,-4.111222222222222
1980-05-31,,-4.223548387096774
1980-06-30,,-4.396111111111111
1980-07-31,,-4.566774193548387
1980-08-31,,-4.735591397849462
1980-09-30,,-5.040777777777778
1980-10-31,,-5.650752688172043
1980-11-30,,-5.645111111111111
1980-12-31,,-5.253225806451613
1981-01-31,,-4.900752688172044
1981-02-28,,-4.75652709359606
1981-03-31,,-4.482043010752688
1981-04-30,,-4.111222222222222
1981-05-31,,-4.223548387096774
1981-06-30,,-4.396111111111111
1981-07-31,,-4.566774193548387
1981-08-31,,-4.735591397849462
1981-09-30,,-5.040777777777778
1981-10-31,,-5.650752688172043
1981-11-30,,-5.645111111111111
1981-12-31,,-5.253225806451613
1982-01-31,,-4.900752688172044
1982-02-28,,-4.75652709359606
1982-03-31,,-4.482043010752688
1982-04-30,,-4.111222222222222
1982-05-31,,-4.223548387096774
1982-06-30,,-4.396111111111111
1982-07-31,,-4.566774193548387
1982-08-31,,-4.735591397849462
1982-09-30,,-5.040777777777778
1982-10-31,,-5.650752688172043
1982-11-30,,-5.645111111111111
1982-12-31,,-5.253225806451613
1983-01-31,,-4.900752688172044
1983-02-28,,-4.75652709359606
1983-03-31,,-4.482043010752688
1983-04-30,,-4.111222222222222
1983-05-31,,-4.223548387096774
1983-06-30,,-4.396111111111111
1983-07-31,,-4.566774193548387
1983-08-31,,-4.735591397849462
1983-09-30,,-5.040777777777778
1983-10-31,,-5.650752688172043
1983-11-30,,-5.645111111111111
1983-12-31,,-5.253225806451613
1984-01-31,,-4.900752688172044
1984-02-29,,-4.75652709359606
1984-03-31,,-4.482043010752688
1984-04-30,,-4.111222222222222
1984-05-31,,-4.223548387096774
1984-06-30,,-4.396111111111111
1984-07-31,,-4.566774193548387
1984-08-31,,-4.735591397849462
1984-09-30,,-5.040777777777778
1984-10-31,,-5.650752688172043
1984-11-30,,-5.645111111111111
1984-12-31,,-5.253225806451613
1985-01-31,,-4.900752688172044
1985-02-28,,-4.75652709359606
1985-03-31,,-4.482043010752688
1985-04-30,,-4.111222222222222
1985-05-31,,-4.223548387096774
1985-06-30,,-4.396111111111111
1985-07-31,,-4.566774193548387
1985-08-31,,-4.735591397849462
1985-09-30,,-5.040777777777778
1985-10-31,,-5.650752688172043
1985-11-30,,-5.645111111111111
1985-12-31,,-5.253225806451613
1986-01-31,,-4.900752688172044
1986-02-28,,-4.75652709359606
1986-03-31,,-4.482043010752688
1986-04-30,,-4.111222222222222
1986-05-31,,-4.223548387096774
1986-06-30,,-4.396111111111111
1986-07-31,,-4.566774193548387
1986-08-31,,-4.735591397849462
1986-09-30,,-5.040777777777778
1986-10-31,,-5.650752688172043
1986-11-30,,-5.645111111111111
1986-12-31,,-5.253225806451613
1987-01-31,,-4.900752688172044
1987-02-28,,-4.75652709359606
1987-03-31,,-4.482043010752688
1987-04-30,,-4.111222222222222
1987-05-31,,-4.223548387096774
1987-06-30,,-4.396111111111111
1987-07-31,,-4.566774193548387
1987-08-31,,-4.735591397849462
1987-09-30,,-5.040777777777778
1987-10-31,,-5.650752688172043
1987-11-30,,-5.645111111111111
1987-12-31,,-5.253225806451613
1988-01-31,,-4.900752688172044
1988-02-29,,-4.75652709359606
1988-03-31,,-4.482043010752688
1988-04-30,,-4.111222222222222
1988-05-31,,-4.223548387096774
1988-06-30,,-4.396111111111111
1988-07-31,,-4.566774193548387
1988-08-31,,-4.735591397849462
1988-09-30,,-5.040777777777778
1988-10-31,,-5.650752688172043
1988-11-30,,-5.645111111111111
1988-12-31,,-5.253225806451613
1989-01-31,,-4.900752688172044
1989-02-28,,-4.75652709359606
1989-03-31,,-4.482043010752688
1989-04-30,,-4.111222222222222
1989-05-31,,-4.223548387096774
1989-06-30,,-4.396111111111111
1989-07-31,,-4.566774193548387
1989-08-31,,-4.735591397849462
1989-09-30,,-5.040777777777778
1989-10-31,,-5.650752688172043
1989-11-30,,-5.645111111111111
1989-12-31,,-5.253225806451613
1990-01-31,,-4.900752688172044
1990-02-28,,-4.75652709359606
1990-03-31,,-4.482043010752688
1990-04-30,,-4.111222222222222
1990-05-31,,-4.223548387096774
1990-06-30,,-4.396111111111111
1990-07-31,,-4.566774193548387
1990-08-31,,-4.735591397849462
1990-09-30,,-5.040777777777778
1990-10-31,,-5.650752688172043
1990-11-30,,-5.645111111111111
1990-12-31,,-5.253225806451613
1991-01-31,,-4.900752688172044
1991-02-28,,-4.75652709359606
1991-03-31,,-4.482043010752688
1991-04-30,,-4.111222222222222
1991-05-31,,-4.223548387096774
1991-06-30,,-4.396111111111111
1991-07-31,,-4.566774193548387
1991-08-31,,-4.735591397849462
1991-09-30,,-5.040777777777778
1991-10-31,,-5.650752688172043
1991-11-30,,-5.645111111111111
1991-12-31,,-5.253225806451613
1992-01-31,,-4.900752688172044
1992-02-29,,-4.75652709359606
1992-03-31,,-4.482043010752688
1992-04-30,,-4.111222222222222
1992-05-31,,-4.223548387096774
1992-06-30,,-4.396111111111111
1992-07-31,,-4.566774193548387
1992-08-31,,-4.735591397849462
1992-09-30,,-5.040777777777778
1992-10-31,,-5.650752688172043
1992-11-30,,-5.645111111111111
1992-12-31,,-5.253225806451613
1993-01-31,,-4.900752688172044
1993-02-28,,-4.75652709359606
1993-03-31,,-4.482043010752688
1993-04-30,,-4.111222222222222
1993-05-31,,-4.223548387096774
1993-06-30,,-4.396111111111111
1993-07-31,,-4.566774193548387
1993-08-31,,-4.735591397849462
1993-09-30,,-5.040777777777778
1993-10-31,,-5.650752688172043
1993-11-30,,-5.645111111111111
1993-12-31,,-5.253225806451613
1994-01-31,,-4.900752688172044
1994-02-28,,-4.75652709359606
1994-03-31,,-4.482043010752688
1994-04-30,,-4.111222222222222
1994-05-31,,-4.223548387096774
1994-06-30,,-4.396111111111111
1994-07-31,,-4.566774193548387
1994-08-31,,-4.735591397849462
1994-09-30,,-5.040777777777778
1994-10-31,,-5.650752688172043
1994-11-30,,-5.645111111111111
1994-12-31,,-5.253225806451613
1995-01-31,,-4.900752688172044
1995-02-28,,-4.75652709359606
1995-03-31,,-4.482043010752688
1995-04-30,,-4.111222222222222
1995-05-31,,-4.223548387096774
1995-06-30,,-4.396111111111111
1995-07-31,,-4.566774193548387
1995-08-31,,-4.735591397849462
1995-09-30,,-5.040777777777778
1995-10-31,,-5.650752688172043
1995-11-30,,-5.645111111111111
1995-12-31,,-5.253225806451613
1996-01-31,,-4.900752688172044
1996-02-29,,-4.75652709359606
1996-03-31,,-4.482043010752688
1996-04-30,,-4.111222222222222
1996-05-31,,-4.223548387096774
1996-06-30,,-4.396111111111111
1996-07-31,,-4.566774193548387
1996-08-31,,-4.735591397849462
1996-09-30,,-5.040777777777778
1996-10-31,,-5.650752688172043
1996-11-30,,-5.645111111111111
1996-12-31,,-5.253225806451613
1997-01-31,1.0151542006380714,9.754086021505376
1997-02-28,0.23856236128403596,6.468472906403938
1997-03-31,0.47591279688053856,7.124408602150537
1997-04-30,0.4796520146520149,6.738777777777778
1997-05-31,0.1413860333215169,5.534516129032258
1997-06-30,0.2771794871794868,6.240555555555556
1997-07-31,-0.20257001063452673,4.536451612903228
1997-08-31,0.8443814250265866,8.906344086021509
1997-09-30,1.0740476190476196,10.172555555555554
1997-10-31,1.0734314073023752,10.878279569892468
1997-11-30,1.580421245421244,12.921555555555555
1997-12-31,-0.03853243530662942,5.924193548387097
1998-01-31,0.47768521800779773,7.537956989247312
1998-02-28,-0.04000906728739162,5.3291871921182254
1998-03-31,0.44638426090038985,6.963118279569891
1998-04-30,0.028626373626372992,4.862111111111111
1998-05-31,0.4721552640907478,6.786129032258066
1998-06-30,0.06641025641025555,5.360555555555557
1998-07-31,0.544328252392769,7.465483870967743
1998-08-31,0.16001417936901818,6.112795698924729
1998-09-30,0.29891941391941446,7.015888888888889
1998-10-31,1.0692130450194979,10.784731182795698
1998-11-30,0.3206776556776556,7.794888888888886
