time,INTERSECT,IN
1979-01-01,23.78333333333333,69.7
1979-01-02,33.18333333333333,98.30000000000001
1979-01-03,24.599999999999998,72.30000000000001
1979-01-04,26.150000000000002,78.0
1979-01-05,30.683333333333334,91.5
1979-01-06,25.599999999999998,76.30000000000001
1979-01-07,22.0,64.30000000000001
1979-01-08,26.46666666666667,79.1
1979-01-09,26.483333333333334,78.9
1979-01-10,32.13333333333333,95.4
1979-01-11,27.766666666666666,82.8
1979-01-12,22.71666666666667,68.0
1979-01-13,20.216666666666665,60.3
1979-01-14,31.616666666666664,95.0
1979-01-15,24.583333333333332,73.5
1979-01-16,18.7,56.2
1979-01-17,31.099999999999998,93.1
1979-01-18,30.183333333333334,89.9
1979-01-19,17.633333333333333,54.2
1979-01-20,27.45,81.5
1979-01-21,28.766666666666666,85.3
1979-01-22,25.28333333333333,75.1
1979-01-23,25.75,78.1
1979-01-24,28.01666666666667,83.1
1979-01-25,30.03333333333333,90.6
1979-01-26,26.433333333333334,78.0
1979-01-27,24.76666666666667,72.5
1979-01-28,22.849999999999998,67.3
1979-01-29,20.566666666666666,61.4
1979-01-30,24.583333333333332,73.2
1979-01-31,19.2,55.400000000000006
1979-02-01,20.36666666666667,59.599999999999994
1979-02-02,26.683333333333334,78.6
1979-02-03,20.183333333333334,60.4
1979-02-04,10.516666666666667,31.5
1979-02-05,14.483333333333334,43.7
1979-02-06,26.71666666666667,81.1
1979-02-07,24.149999999999995,71.8
1979-02-08,25.53333333333333,76.2
1979-02-09,17.383333333333336,52.0
1979-02-10,29.8,88.8
1979-02-11,23.46666666666667,69.6
1979-02-12,20.75,61.8
1979-02-13,12.266666666666666,35.5
1979-02-14,19.400000000000002,56.7
1979-02-15,11.983333333333334,35.9
1979-02-16,9.666666666666666,27.0
1979-02-17,10.416666666666666,29.1
1979-02-18,4.6,13.7
1979-02-19,22.566666666666666,66.80000000000001
1979-02-20,21.816666666666663,65.6
1979-02-21,27.633333333333336,82.80000000000001
1979-02-22,20.3,60.900000000000006
1979-02-23,21.0,62.4
1979-02-24,22.099999999999998,65.8
1979-02-25,19.533333333333335,58.0
1979-02-26,24.95,74.8
1979-02-27,20.833333333333332,61.900000000000006
1979-02-28,7.416666666666667,22.1
1979-03-01,23.483333333333334,70.0
1979-03-02,15.566666666666668,45.7
1979-03-03,17.9,51.900000000000006
1979-03-04,16.7,49.599999999999994
1979-03-05,19.1,57.0
1979-03-06,23.7,70.5
1979-03-07,17.483333333333334,53.1
1979-03-08,20.033333333333335,59.699999999999996
1979-03-09,13.049999999999999,39.4
1979-03-10,15.800000000000002,47.0
1979-03-11,8.950000000000001,27.1
1979-03-12,10.9,33.099999999999994
1979-03-13,13.016666666666666,38.8
1979-03-14,13.5,40.699999999999996
1979-03-15,3.7999999999999994,11.5
1979-03-16,12.483333333333334,37.9
1979-03-17,12.450000000000001,38.0
1979-03-18,16.516666666666666,49.699999999999996
1979-03-19,8.366666666666667,25.3
1979-03-20,15.233333333333334,45.3
1979-03-21,15.666666666666666,46.9
1979-03-22,11.933333333333332,36.3
1979-03-23,12.5,37.1
1979-03-24,9.666666666666666,28.8
1979-03-25,14.283333333333333,42.8
1979-03-26,16.599999999999998,49.599999999999994
1979-03-27,15.299999999999999,45.1
1979-03-28,15.416666666666666,45.8
1979-03-29,9.7,29.2
1979-03-30,17.400000000000002,51.699999999999996
1979-03-31,19.883333333333333,59.5
1979-04-01,16.849999999999998,49.7
1979-04-02,19.599999999999998,58.5
1979-04-03,14.149999999999999,42.0
1979-04-04,14.933333333333332,43.8
1979-04-05,12.533333333333331,36.3
1979-04-06,14.283333333333333,42.3
1979-04-07,11.200000000000001,33.1
1979-04-08,10.0,29.4
1979-04-09,4.383333333333333,12.8
1979-04-10,7.316666666666666,21.4
1979-04-11,3.75,11.399999999999999
1979-04-12,11.85,34.7
1979-04-13,14.950000000000001,45.199999999999996
1979-04-14,8.383333333333335,25.699999999999996
1979-04-15,8.733333333333333,25.7
1979-04-16,13.166666666666666,38.800000000000004
1979-04-17,15.916666666666666,47.0
1979-04-18,16.683333333333334,49.7
1979-04-19,17.349999999999998,51.5
1979-04-20,10.433333333333332,30.699999999999996
1979-04-21,12.616666666666665,37.3
1979-04-22,8.549999999999999,24.6
1979-04-23,7.95,23.0
1979-04-24,2.966666666666667,8.5
1979-04-25,12.833333333333334,38.1
1979-04-26,11.300000000000002,33.900000000000006
1979-04-27,10.883333333333333,32.199999999999996
1979-04-28,12.916666666666666,38.3
1979-04-29,8.7,26.099999999999998
1979-04-30,8.666666666666666,25.599999999999998
1979-05-01,8.783333333333333,26.2
1979-05-02,12.366666666666667,37.0
1979-05-03,5.533333333333334,16.0
1979-05-04,9.616666666666667,28.4
1979-05-05,5.95,18.2
1979-05-06,7.583333333333333,22.6
1979-05-07,6.3999999999999995,18.700000000000003
1979-05-08,3.6333333333333333,10.5
1979-05-09,2.6999999999999997,8.3
1979-05-10,7.8,23.8
1979-05-11,8.633333333333333,25.5
1979-05-12,8.066666666666666,24.200000000000003
1979-05-13,8.466666666666667,25.200000000000003
1979-05-14,6.033333333333334,17.6
1979-05-15,6.016666666666667,18.0
1979-05-16,8.833333333333334,25.8
1979-05-17,9.466666666666667,28.1
1979-05-18,11.316666666666668,33.7
1979-05-19,11.716666666666667,34.599999999999994
1979-05-20,11.25,33.5
1979-05-21,10.666666666666666,32.099999999999994
1979-05-22,11.483333333333334,34.300000000000004
1979-05-23,6.266666666666667,19.1
1979-05-24,7.55,23.299999999999997
1979-05-25,10.866666666666665,32.3
1979-05-26,6.7,19.7
1979-05-27,11.083333333333334,33.0
1979-05-28,6.3,18.9
1979-05-29,8.266666666666666,24.499999999999996
1979-05-30,6.6499999999999995,19.5
1979-05-31,8.366666666666667,24.599999999999998
1979-06-01,1.9333333333333333,5.5
1979-06-02,5.6000000000000005,17.1
1979-06-03,10.533333333333333,31.4
1979-06-04,5.633333333333333,16.6
1979-06-05,10.75,32.2
1979-06-06,8.549999999999999,25.4
1979-06-07,6.816666666666667,20.2
1979-06-08,7.183333333333334,21.6
1979-06-09,10.3,30.900000000000002
1979-06-10,9.066666666666666,27.1
1979-06-11,5.633333333333333,16.6
1979-06-12,5.45,16.3
1979-06-13,0.8166666666666668,2.4000000000000004
1979-06-14,4.0,11.9
1979-06-15,3.7999999999999994,11.399999999999999
1979-06-16,6.816666666666666,19.9
1979-06-17,8.483333333333333,25.4
1979-06-18,7.933333333333334,23.6
1979-06-19,3.7999999999999994,11.399999999999999
1979-06-20,6.433333333333334,19.3
1979-06-21,5.3,15.7
1979-06-22,4.383333333333334,12.6
1979-06-23,5.116666666666666,15.5
1979-06-24,2.883333333333333,8.7
1979-06-25,3.3000000000000003,10.1
1979-06-26,2.8833333333333333,8.9
1979-06-27,6.466666666666666,19.3
1979-06-28,6.400000000000001,19.0
1979-06-29,5.366666666666667,16.0
1979-06-30,4.0,11.8
1979-07-01,1.05,3.2
1979-07-02,4.25,12.5
1979-07-03,6.166666666666667,18.4
1979-07-04,4.783333333333333,14.2
1979-07-05,10.366666666666667,30.799999999999997
1979-07-06,10.466666666666667,31.1
1979-07-07,10.566666666666668,31.200000000000003
1979-07-08,10.583333333333334,31.4
1979-07-09,10.316666666666668,30.400000000000002
1979-07-10,9.633333333333333,28.300000000000004
1979-07-11,4.1000000000000005,12.5
1979-07-12,4.566666666666667,13.4
1979-07-13,9.183333333333332,27.4
1979-07-14,8.649999999999999,25.700000000000003
1979-07-15,6.8,20.4
1979-07-16,10.583333333333334,31.5
1979-07-17,9.366666666666667,27.8
1979-07-18,9.766666666666667,29.2
1979-07-19,9.533333333333333,28.3
1979-07-20,8.950000000000001,27.199999999999996
1979-07-21,5.633333333333333,16.1
1979-07-22,6.133333333333333,18.1
1979-07-23,8.933333333333332,26.299999999999997
1979-07-24,6.55,19.6
1979-07-25,1.2,3.7
1979-07-26,9.983333333333333,29.6
1979-07-27,9.5,28.1
1979-07-28,1.383333333333333,4.199999999999999
1979-07-29,9.416666666666666,28.1
1979-07-30,10.916666666666666,33.1
1979-07-31,5.033333333333333,15.3
1979-08-01,4.383333333333333,12.8
1979-08-02,6.583333333333333,19.4
1979-08-03,11.516666666666667,34.1
1979-08-04,9.9,29.6
1979-08-05,11.516666666666666,34.4
1979-08-06,8.899999999999999,26.1
1979-08-07,9.383333333333333,27.799999999999997
1979-08-08,2.1,6.1
1979-08-09,10.65,31.7
1979-08-10,12.716666666666667,37.7
1979-08-11,11.216666666666667,33.2
1979-08-12,11.466666666666667,34.0
1979-08-13,12.25,36.3
1979-08-14,3.5333333333333337,10.3
1979-08-15,5.599999999999999,16.799999999999997
1979-08-16,14.35,42.8
1979-08-17,9.433333333333334,28.0
1979-08-18,12.700000000000001,38.5
1979-08-19,8.466666666666667,25.1
1979-08-20,7.116666666666667,20.6
1979-08-21,10.133333333333333,30.0
1979-08-22,7.8,23.2
1979-08-23,4.8999999999999995,14.7
1979-08-24,11.133333333333335,33.7
1979-08-25,12.916666666666666,38.199999999999996
1979-08-26,9.45,28.1
1979-08-27,12.733333333333334,37.8
1979-08-28,16.9,50.699999999999996
1979-08-29,7.166666666666667,21.4
1979-08-30,6.300000000000001,19.0
1979-08-31,11.266666666666666,32.900000000000006
1979-09-01,3.266666666666667,9.899999999999999
1979-09-02,7.1499999999999995,21.6
1979-09-03,9.083333333333334,27.800000000000004
1979-09-04,13.216666666666667,39.7
1979-09-05,9.733333333333333,28.999999999999996
1979-09-06,6.2,18.4
1979-09-07,18.416666666666668,54.8
1979-09-08,14.6,43.300000000000004
1979-09-09,15.283333333333333,45.099999999999994
1979-09-10,17.249999999999996,50.7
1979-09-11,17.766666666666666,53.900000000000006
1979-09-12,14.316666666666668,43.3
1979-09-13,10.833333333333334,31.6
1979-09-14,11.350000000000001,34.0
1979-09-15,6.316666666666666,18.9
1979-09-16,13.9,42.1
1979-09-17,14.783333333333331,44.0
1979-09-18,12.549999999999999,36.5
1979-09-19,16.233333333333334,48.0
1979-09-20,19.400000000000002,57.2
1979-09-21,19.366666666666664,57.3
1979-09-22,21.3,64.2
1979-09-23,21.383333333333336,63.2
1979-09-24,16.6,49.3
1979-09-25,20.95,62.699999999999996
1979-09-26,23.650000000000002,70.1
1979-09-27,22.866666666666664,67.7
1979-09-28,10.75,31.3
1979-09-29,14.9,44.199999999999996
1979-09-30,7.566666666666666,22.2
1979-10-01,17.316666666666666,51.2
1979-10-02,3.483333333333333,10.8
1979-10-03,3.983333333333333,12.1
1979-10-04,17.36666666666667,51.3
1979-10-05,23.083333333333332,69.7
1979-10-06,19.566666666666666,59.2
1979-10-07,19.28333333333333,57.0
1979-10-08,14.016666666666667,41.800000000000004
1979-10-09,9.733333333333333,29.099999999999998
1979-10-10,15.483333333333334,45.8
1979-10-11,23.266666666666666,69.7
1979-10-12,19.816666666666666,58.900000000000006
1979-10-13,6.45,18.3
1979-10-14,3.65,11.2
1979-10-15,24.850000000000005,74.1
1979-10-16,25.883333333333336,78.3
1979-10-17,23.099999999999998,69.3
1979-10-18,24.183333333333334,72.69999999999999
1979-10-19,15.733333333333334,47.800000000000004
1979-10-20,7.566666666666667,23.4
1979-10-21,23.083333333333332,69.2
1979-10-22,18.983333333333334,56.1
1979-10-23,28.666666666666668,85.19999999999999
1979-10-24,28.616666666666664,86.2
1979-10-25,27.28333333333333,81.2
1979-10-26,17.633333333333336,52.6
1979-10-27,18.433333333333334,53.7
1979-10-28,29.016666666666666,85.9
1979-10-29,19.71666666666667,57.50000000000001
1979-10-30,9.416666666666666,28.4
1979-10-31,16.366666666666667,48.0
1979-11-01,23.816666666666666,70.0
1979-11-02,28.100000000000005,84.30000000000001
1979-11-03,28.983333333333334,87.2
1979-11-04,16.516666666666666,46.9
1979-11-05,24.916666666666668,74.0
1979-11-06,24.516666666666666,72.5
1979-11-07,21.616666666666664,64.3
1979-11-08,13.350000000000001,39.9
1979-11-09,21.0,63.2
1979-11-10,13.566666666666668,39.9
1979-11-11,17.216666666666665,50.3
1979-11-12,17.683333333333334,52.199999999999996
1979-11-13,21.933333333333334,65.4
1979-11-14,8.700000000000001,25.7
1979-11-15,18.233333333333334,54.0
1979-11-16,21.549999999999997,63.7
1979-11-17,22.233333333333334,64.9
1979-11-18,13.016666666666666,37.2
1979-11-19,8.350000000000001,24.900000000000002
1979-11-20,26.816666666666666,79.8
1979-11-21,30.866666666666664,91.8
1979-11-22,22.150000000000002,65.0
1979-11-23,29.349999999999998,86.8
1979-11-24,21.25,62.3
1979-11-25,32.65,97.5
1979-11-26,23.833333333333332,70.5
1979-11-27,30.01666666666667,89.3
1979-11-28,23.666666666666668,69.8
1979-11-29,19.166666666666668,57.3
1979-11-30,29.066666666666663,86.4
1979-12-01,31.666666666666668,94.5
1979-12-02,31.850000000000005,95.1
1979-12-03,12.366666666666665,35.2
