time,INTERSECT,IN
1979-01-31,,-5.304301075268817
1979-02-28,,-5.151034482758621
1979-03-31,,-5.043548387096774
1979-04-30,,-4.586333333333333
1979-05-31,,-4.771505376344085
1979-06-30,,-4.865222222222223
1979-07-31,,-4.744516129032259
1979-08-31,,-5.097419354838709
1979-09-30,,-5.563666666666665
1979-10-31,,-6.326344086021504
1979-11-30,,-6.157111111111112
1979-12-31,,-5.713763440860214
1980-01-31,,-5.304301075268817
1980-02-29,,-5.151034482758621
1980-03-31,,-5.043548387096774
1980-04-30,,-4.586333333333333
1980-05-31,,-4.771505376344085
1980-06-30,,-4.865222222222223
1980-07-31,,-4.744516129032259
1980-08-31,,-5.097419354838709
1980-09-30,,-5.563666666666665
1980-10-31,,-6.326344086021504
1980-11-30,,-6.157111111111112
1980-12-31,,-5.713763440860214
1981-01-31,,-5.304301075268817
1981-02-28,,-5.151034482758621
1981-03-31,,-5.043548387096774
1981-04-30,,-4.586333333333333
1981-05-31,,-4.771505376344085
1981-06-30,,-4.865222222222223
1981-07-31,,-4.744516129032259
1981-08-31,,-5.097419354838709
1981-09-30,,-5.563666666666665
1981-10-31,,-6.326344086021504
1981-11-30,,-6.157111111111112
1981-12-31,,-5.713763440860214
1982-01-31,,-5.304301075268817
1982-02-28,,-5.151034482758621
1982-03-31,,-5.043548387096774
1982-04-30,,-4.586333333333333
1982-05-31,,-4.771505376344085
1982-06-30,,-4.865222222222223
1982-07-31,,-4.744516129032259
1982-08-31,,-5.097419354838709
1982-09-30,,-5.563666666666665
1982-10-31,,-6.326344086021504
1982-11-30,,-6.157111111111112
1982-12-31,,-5.713763440860214
1983-01-31,,-5.304301075268817
1983-02-28,,-5.151034482758621
1983-03-31,,-5.043548387096774
1983-04-30,,-4.586333333333333
1983-05-31,,-4.771505376344085
1983-06-30,,-4.865222222222223
1983-07-31,,-4.744516129032259
1983-08-31,,-5.097419354838709
1983-09-30,,-5.563666666666665
1983-10-31,,-6.326344086021504
1983-11-30,,-6.157111111111112
1983-12-31,,-5.713763440860214
1984-01-31,,-5.304301075268817
1984-02-29,,-5.151034482758621
1984-03-31,,-5.043548387096774
1984-04-30,,-4.586333333333333
1984-05-31,,-4.771505376344085
1984-06-30,,-4.865222222222223
1984-07-31,,-4.744516129032259
1984-08-31,,-5.097419354838709
1984-09-30,,-5.563666666666665
1984-10-31,,-6.326344086021504
1984-11-30,,-6.157111111111112
1984-12-31,,-5.713763440860214
1985-01-31,,-5.304301075268817
1985-02-28,,-5.151034482758621
1985-03-31,,-5.043548387096774
1985-04-30,,-4.586333333333333
1985-05-31,,-4.771505376344085
1985-06-30,,-4.865222222222223
1985-07-31,,-4.744516129032259
1985-08-31,,-5.097419354838709
1985-09-30,,-5.563666666666665
1985-10-31,,-6.326344086021504
1985-11-30,,-6.157111111111112
1985-12-31,,-5.713763440860214
1986-01-31,,-5.304301075268817
1986-02-28,,-5.151034482758621
1986-03-31,,-5.043548387096774
1986-04-30,,-4.586333333333333
1986-05-31,,-4.771505376344085
1986-06-30,,-4.865222222222223
1986-07-31,,-4.744516129032259
1986-08-31,,-5.097419354838709
1986-09-30,,-5.563666666666665
1986-10-31,,-6.326344086021504
1986-11-30,,-6.157111111111112
1986-12-31,,-5.713763440860214
1987-01-31,,-5.304301075268817
1987-02-28,,-5.151034482758621
1987-03-31,,-5.043548387096774
1987-04-30,,-4.586333333333333
1987-05-31,,-4.771505376344085
1987-06-30,,-4.865222222222223
1987-07-31,,-4.744516129032259
1987-08-31,,-5.097419354838709
1987-09-30,,-5.563666666666665
1987-10-31,,-6.326344086021504
1987-11-30,,-6.157111111111112
1987-12-31,,-5.713763440860214
1988-01-31,,-5.304301075268817
1988-02-29,,-5.151034482758621
1988-03-31,,-5.043548387096774
1988-04-30,,-4.586333333333333
1988-05-31,,-4.771505376344085
1988-06-30,,-4.865222222222223
1988-07-31,,-4.744516129032259
1988-08-31,,-5.097419354838709
1988-09-30,,-5.563666666666665
1988-10-31,,-6.326344086021504
1988-11-30,,-6.157111111111112
1988-12-31,,-5.713763440860214
1989-01-31,,-5.304301075268817
1989-02-28,,-5.151034482758621
1989-03-31,,-5.043548387096774
1989-04-30,,-4.586333333333333
1989-05-31,,-4.771505376344085
1989-06-30,,-4.865222222222223
1989-07-31,,-4.744516129032259
1989-08-31,,-5.097419354838709
1989-09-30,,-5.563666666666665
1989-10-31,,-6.326344086021504
1989-11-30,,-6.157111111111112
1989-12-31,,-5.713763440860214
1990-01-31,,-5.304301075268817
1990-02-28,,-5.151034482758621
1990-03-31,,-5.043548387096774
1990-04-30,,-4.586333333333333
1990-05-31,,-4.771505376344085
1990-06-30,,-4.865222222222223
1990-07-31,,-4.744516129032259
1990-08-31,,-5.097419354838709
1990-09-30,,-5.563666666666665
1990-10-31,,-6.326344086021504
1990-11-30,,-6.157111111111112
1990-12-31,,-5.713763440860214
1991-01-31,,-5.304301075268817
1991-02-28,,-5.151034482758621
1991-03-31,,-5.043548387096774
1991-04-30,,-4.586333333333333
1991-05-31,,-4.771505376344085
1991-06-30,,-4.865222222222223
1991-07-31,,-4.744516129032259
1991-08-31,,-5.097419354838709
1991-09-30,,-5.563666666666665
1991-10-31,,-6.326344086021504
1991-11-30,,-6.157111111111112
1991-12-31,,-5.713763440860214
1992-01-31,,-5.304301075268817
1992-02-29,,-5.151034482758621
1992-03-31,,-5.043548387096774
1992-04-30,,-4.586333333333333
1992-05-31,,-4.771505376344085
1992-06-30,,-4.865222222222223
1992-07-31,,-4.744516129032259
1992-08-31,,-5.097419354838709
1992-09-30,,-5.563666666666665
1992-10-31,,-6.326344086021504
1992-11-30,,-6.157111111111112
1992-12-31,,-5.713763440860214
1993-01-31,,-5.304301075268817
1993-02-28,,-5.151034482758621
1993-03-31,,-5.043548387096774
1993-04-30,,-4.586333333333333
1993-05-31,,-4.771505376344085
1993-06-30,,-4.865222222222223
1993-07-31,,-4.744516129032259
1993-08-31,,-5.097419354838709
1993-09-30,,-5.563666666666665
1993-10-31,,-6.326344086021504
1993-11-30,,-6.157111111111112
1993-12-31,,-5.713763440860214
1994-01-31,,-5.304301075268817
1994-02-28,,-5.151034482758621
1994-03-31,,-5.043548387096774
1994-04-30,,-4.586333333333333
1994-05-31,,-4.771505376344085
